dataset,seed,bearing,nominal,picp,mpiw,q,n_cal
xjtu_sy,s43,37.5Hz11kN_Bearing2_3,0.8,0.4484,0.3745,0.1872,42
xjtu_sy,s43,37.5Hz11kN_Bearing2_3,0.9,0.9381,0.5446,0.2723,42
xjtu_sy,s43,37.5Hz11kN_Bearing2_4,0.8,0.9048,0.4899,0.245,339
xjtu_sy,s43,37.5Hz11kN_Bearing2_4,0.9,0.9286,0.5692,0.2846,339
xjtu_sy,s43,37.5Hz11kN_Bearing2_5,0.8,0.9617,0.6853,0.3427,2538
xjtu_sy,s43,37.5Hz11kN_Bearing2_5,0.9,1.0,0.9896,0.4948,2538
xjtu_sy,s43,40Hz10kN_Bearing3_1,0.8,0.7939,0.6665,0.3332,2496
xjtu_sy,s43,40Hz10kN_Bearing3_1,0.9,0.8684,0.8912,0.4456,2496
xjtu_sy,s43,40Hz10kN_Bearing3_2,0.8,0.8201,0.7008,0.3504,371
xjtu_sy,s43,40Hz10kN_Bearing3_2,0.9,0.9359,1.0344,0.5172,371
xjtu_sy,s43,40Hz10kN_Bearing3_3,0.8,0.8464,0.8481,0.424,1515
xjtu_sy,s43,40Hz10kN_Bearing3_3,0.9,0.9434,1.1743,0.5872,1515
xjtu_sy,s43,40Hz10kN_Bearing3_4,0.8,1.0,1.485,0.7425,114
xjtu_sy,s43,40Hz10kN_Bearing3_4,0.9,1.0,1.5352,0.7676,114
xjtu_sy,s43,40Hz10kN_Bearing3_5,0.8,0.3333,0.3661,0.183,123
xjtu_sy,s43,40Hz10kN_Bearing3_5,0.9,0.3947,0.5193,0.2597,123
xjtu_sy,s44,35Hz12kN_Bearing1_1,0.8,1.0,1.107,0.5535,161
xjtu_sy,s44,35Hz12kN_Bearing1_1,0.9,1.0,1.3858,0.6929,161
xjtu_sy,s44,35Hz12kN_Bearing1_2,0.8,0.5217,0.4534,0.2267,158
xjtu_sy,s44,35Hz12kN_Bearing1_2,0.9,0.5217,0.4566,0.2283,158
xjtu_sy,s44,35Hz12kN_Bearing1_3,0.8,1.0,1.1594,0.5797,122
xjtu_sy,s44,35Hz12kN_Bearing1_3,0.9,1.0,1.4903,0.7451,122
xjtu_sy,s44,35Hz12kN_Bearing1_4,0.8,0.5902,0.4523,0.2262,52
xjtu_sy,s44,35Hz12kN_Bearing1_4,0.9,0.5902,0.4573,0.2286,52
