dataset,config,seed,holdout,rul_mae,rul_mae_hours,mtoi_spearman_signed,vtoi_a,vtoi_b,vtoi_sat_frac_test
pronostia,abl_no_mono,44,Full_Test_Set_Bearing1_3,0.2022923231124878,0.8004032969474792,-0.8272274278430138,0.86,0.14,0.2164210526315789
pronostia,abl_no_mono,42,Full_Test_Set_Bearing1_4,0.222174659371376,0.5284053683280945,-0.5611101978558796,0.87,0.13,0.1953781512605042
pronostia,abl_no_mono,43,Full_Test_Set_Bearing1_4,0.1957043409347534,0.4654501676559448,-0.5335267038811304,0.87,0.13,0.1953781512605042
pronostia,abl_no_mono,44,Full_Test_Set_Bearing1_4,0.2006987184286117,0.4773285090923309,-0.5526508527671778,0.87,0.13,0.1953781512605042
pronostia,abl_no_mono,42,Full_Test_Set_Bearing1_5,0.2854722142219543,1.1713876724243164,-0.1331761384401828,0.88,0.12,0.0012180267965895
pronostia,abl_no_mono,43,Full_Test_Set_Bearing1_5,0.2326613068580627,0.9546868801116944,-0.4455764229049423,0.88,0.12,0.0012180267965895
pronostia,abl_no_mono,44,Full_Test_Set_Bearing1_5,0.2885797321796417,1.1841390132904053,0.1354570965523802,0.88,0.12,0.0012180267965895
pronostia,abl_no_mono,42,Full_Test_Set_Bearing1_6,0.2778411507606506,1.1331288814544678,0.0972377998191886,0.88,0.12,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing1_6,0.2761316299438476,1.1261566877365112,0.0944226975879389,0.88,0.12,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing1_6,0.2748055458068847,1.1207486391067505,0.0091128419584469,0.88,0.12,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing1_7,0.2778949439525604,1.0458112955093384,-0.2154385042715604,0.88,0.12,0.0004426737494466
pronostia,abl_no_mono,43,Full_Test_Set_Bearing1_7,0.2928548455238342,1.1021103858947754,-0.5603172697805116,0.88,0.12,0.0004426737494466
pronostia,abl_no_mono,44,Full_Test_Set_Bearing1_7,0.2968909442424774,1.1172996759414673,-0.5869048827115093,0.88,0.12,0.0004426737494466
pronostia,abl_no_mono,42,Full_Test_Set_Bearing2_3,0.2976959943771362,0.9694966673851012,0.2491590481899087,0.87,0.13,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing2_3,0.2953554093837738,0.9618740677833556,0.1906678053939699,0.87,0.13,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing2_3,0.2975464463233948,0.9690096974372864,0.1754764930495441,0.87,0.13,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing2_4,0.2860958874225616,0.3576198220252991,0.0774761957534509,0.88,0.12,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing2_4,0.3069051504135132,0.3836314678192138,0.0298937039955391,0.88,0.12,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing2_4,0.2880015969276428,0.3600020110607147,0.0299366425367155,0.88,0.12,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing2_5,0.3014996647834778,1.1607738733291626,0.188156092995762,0.86,0.14,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing2_5,0.303108811378479,1.1669689416885376,0.239174893178394,0.86,0.14,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing2_5,0.3110991716384887,1.1977320909500122,0.4092706402464771,0.86,0.14,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing2_6,0.2801291942596435,0.3268173933029175,0.1363019632107658,0.88,0.12,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing2_6,0.2790204584598541,0.3255238831043243,0.2926369142127786,0.88,0.12,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing2_6,0.2794672846794128,0.3260451853275299,-0.0826959665681356,0.88,0.12,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing2_7,0.2709599733352661,0.1034164130687713,-0.3436280309698225,0.88,0.12,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing2_7,0.2659495174884796,0.1015040650963783,-0.2468025707174671,0.88,0.12,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing2_7,0.2618175745010376,0.0999270379543304,-0.0685005113127949,0.88,0.12,0.0
pronostia,abl_no_mono,42,Full_Test_Set_Bearing3_3,0.2501630187034607,0.1805343329906463,-0.5014066281049769,0.88,0.12,0.0
pronostia,abl_no_mono,43,Full_Test_Set_Bearing3_3,0.2729446589946747,0.1969750821590423,-0.5593405930435967,0.88,0.12,0.0
pronostia,abl_no_mono,44,Full_Test_Set_Bearing3_3,0.201065719127655,0.1451024115085601,-0.6796079739399029,0.88,0.12,0.0
pronostia,abl_no_mono,42,Learning_set_Bearing1_1,0.2396915256977081,1.1193593740463257,-0.7740044448757812,0.88,0.12,0.0767035319300749
pronostia,abl_no_mono,43,Learning_set_Bearing1_1,0.2080243676900863,0.9714738130569458,-0.8563310416717546,0.88,0.12,0.0767035319300749
